year,importer1,importer2,flow1,flow2
2009,Station1,Station1,293559,293559
2009,Station1,Station2,68938,61061
2009,Station1,Station3,205608,171222
2009,Station1,Station4,300100,293685
2009,Station1,Station5,375307,336056
2009,Station1,Station6,162804,157145
2009,Station1,Station7,472384,383045
2009,Station1,Station8,1600457,1103236
2009,Station1,Station9,2439605,2156433
2009,Station1,Station10,462029,374024
2009,Station1,Station11,901267,680562
2009,Station1,Station12,381589,297411
2009,Station1,Station13,269559,232005
2009,Station1,Station14,293147,225197
2009,Station1,Station15,230259,199345
2009,Station1,Station16,142385,124956
2009,Station1,Station17,257175,216558
2009,Station1,Station18,687256,534223
2009,Station1,Station19,6997,4488
2009,Station1,Station20,400364,363123
,Station2,Station1,61061,68938
,Station2,Station2,205620,205620
,Station2,Station3,112142,95807
,Station2,Station4,150644,166117
,Station2,Station5,176972,183138
,Station2,Station6,104698,105324
,Station2,Station7,163908,162981
,Station2,Station8,365631,311941
,Station2,Station9,577931,547648
,Station2,Station10,198895,188380
,Station2,Station11,312803,260843
,Station2,Station12,210974,182315
,Station2,Station13,179554,158931
,Station2,Station14,208139,162434
,Station2,Station15,118835,111200
,Station2,Station16,97636,85639
,Station2,Station17,147721,125055
,Station2,Station18,261080,244153
,Station2,Station19,3918,3218
,Station2,Station20,125875,138848
,Station3,Station1,171222,205608
,Station3,Station2,95807,112142
,Station3,Station3,354590,354590
,Station3,Station4,128167,154444
,Station3,Station5,202410,254711
,Station3,Station6,170245,197154
,Station3,Station7,261638,331066
,Station3,Station8,880377,933445
,Station3,Station9,1046267,1373496
,Station3,Station10,377811,456836
,Station3,Station11,608648,695514
,Station3,Station12,408011,428829
,Station3,Station13,363852,403827
,Station3,Station14,517399,503417
,Station3,Station15,252310,295846
,Station3,Station16,215201,238447
,Station3,Station17,280450,305239
,Station3,Station18,492105,540811
,Station3,Station19,6463,5673
,Station3,Station20,270043,390258
,Station4,Station1,293685,300100
,Station4,Station2,166117,150644
,Station4,Station3,154444,128167
,Station4,Station4,335869,335869
,Station4,Station5,124499,139304
,Station4,Station6,128039,142397
